survey_protocol,shoreline_site_id,survey_date,survey_id,transect_id,shoreline_site_name,beach_width_at_transect,transect_width,site_length,slope,substrate,back_barrier_type,num_people_searching_for_debris,debris_search_start_time,debris_search_end_time,debris_removal_transect,consistency_check,transect_photos,transect_notes,total_debris_items,total_plastic_items,total_metal_items,total_glass_items,total_rubber_items,total_processed-lumber_items,total_cloth-fabric_items,total_other_items,plastic:fragments-film,plastic:fragments-foamed,plastic:fragments-hard,plastic:bags,plastic:beverage-bottles,plastic:bottle-or-container-caps,plastic:cups,plastic:food-wrappers,plastic:other-jugs-or-containers,plastic:straws,plastic:utensils,plastic:6-pack-rings,plastic:cigar-tips,plastic:cigarettes,plastic:disposable-cigarette-lighters,plastic:buoys-and-floats,plastic:fishing-lures-and-line,plastic:rope-and-nets,plastic:balloons,plastic:personal-care-products,plastic:other,metal:fragments,metal:aerosol-cans,metal:aluminum-tin-cans,metal:other,glass:fragments,glass:beverage-bottles,glass:jars,glass:other,rubber:fragments,rubber:balloons,rubber:flip-flops,rubber:gloves,rubber:tires,rubber:other,processed-lumber:cardboard-cartons,processed-lumber:building-material,processed-lumber:paper-and-cardboard,processed-lumber:bags,processed-lumber:other,cloth-fabric:fragments,cloth-fabric:clothing-and-shoes,cloth-fabric:gloves,cloth-fabric:rope-and-nets,cloth-fabric:towels-rags,cloth-fabric:other,other:other,drain_input,total_survey_duration,weather,trashcans,debris_removal_site,number_of_recreators,team_count,k12_group,first_timers,survey_photos,survey_notes,group,date_of_site_characterization,country,state_province_territory,city_county,site_back_barrier_left_lat,site_back_barrier_left_lon,site_back_barrier_right_lat,site_back_barrier_right_lon,site_waters_edge_left_lat,site_waters_edge_left_lon,site_waters_edge_right_lat,site_waters_edge_right_lon,direction_when_facing_water,access,nearest_river_stream_inlet,nearest_river_dist_km,reason_site_selection,site_photos,national_survey,region,panel,site_notes
MDMAP Standing Stock Protocol,1183,2019-07-13,11352,50,Chinese Bell Church,11.95,5,21,"",sand,wall/structure,"",03:45 PM,04:00 PM,none,"","","",65,36,5,1,18,0,1,4,0,0,2,3,0,4,1,3,0,0,3,0,1,0,0,3,1,0,0,5,10,1,0,0,4,0,0,0,1,1,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,4,true,"",Partly Cloudy,"",none,"","","","","","

Sim card, wire insulator (x2), and battery",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-13,11352,55,Chinese Bell Church,11.95,5,21,"",sand,wall/structure,"",03:45 PM,04:00 PM,none,"","","",34,15,0,0,17,2,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

Sim card, wire insulator (x2), and battery",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-13,11352,70,Chinese Bell Church,11.95,5,21,"",sand,wall/structure,"",03:45 PM,04:00 PM,none,"","","",22,14,1,1,2,2,2,0,3,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

Sim card, wire insulator (x2), and battery",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-13,11352,75,Chinese Bell Church,11.95,5,21,"",sand,wall/structure,"",03:45 PM,04:00 PM,none,"","","",25,10,1,5,2,0,7,0,2,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

Sim card, wire insulator (x2), and battery",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-11,11348,35,Chinese Bell Church,9.48,5,21,"",sand,wall/structure,"",11:45 AM,12:10 PM,none,"","","",47,33,3,1,4,1,4,1,0,0,0,1,0,3,1,17,4,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,2,0,0,2,0,0,1,true,"",Partly Cloudy,"",none,"","","","","","

Cement Stack",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-11,11348,55,Chinese Bell Church,9.48,5,21,"",sand,wall/structure,"",11:45 AM,12:10 PM,none,"","","",26,16,1,3,3,0,2,1,0,0,0,2,3,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,true,"",Partly Cloudy,"",none,"","","","","","

Cement Stack",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-11,11348,60,Chinese Bell Church,9.48,5,21,"",sand,wall/structure,"",11:45 AM,12:10 PM,none,"","","",28,18,0,6,1,3,0,0,5,4,0,2,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

Cement Stack",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-11,11348,80,Chinese Bell Church,9.48,5,21,"",sand,wall/structure,"",11:45 AM,12:10 PM,none,"","","",20,15,1,4,0,0,0,0,1,5,0,2,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

Cement Stack",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-10,11344,5,Chinese Bell Church,6.74,5,21,"",sand,wall/structure,"",11:00 AM,11:25 AM,none,"","","",25,21,2,1,1,0,0,0,6,0,1,4,0,1,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-10,11344,10,Chinese Bell Church,6.74,5,21,"",sand,wall/structure,"",11:00 AM,11:25 AM,none,"","","",10,8,1,0,1,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-10,11344,80,Chinese Bell Church,6.74,5,21,"",sand,wall/structure,"",11:00 AM,11:25 AM,none,"","","",5,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-10,11344,90,Chinese Bell Church,6.74,5,21,"",sand,wall/structure,"",11:00 AM,11:25 AM,none,"","","",5,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-09,11340,30,Chinese Bell Church,9.5,5,21,"",sand,wall/structure,"",09:00 AM,09:30 AM,none,"","","",101,82,3,3,2,8,3,0,9,28,7,5,2,4,1,8,1,6,1,0,0,4,4,0,0,0,0,2,0,0,0,0,3,0,1,0,2,2,0,0,0,0,0,0,1,4,0,3,1,0,0,0,1,1,0,true,"",Partly Cloudy,"",none,"","","","","","20190709_090557 & 20190709_090558 & 20190709_090559 & 20190709_090600 & 20190709_090601

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-09,11340,50,Chinese Bell Church,9.5,5,21,"",sand,wall/structure,"",09:00 AM,09:30 AM,none,"","","",19,9,4,1,1,1,1,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,true,"",Partly Cloudy,"",none,"","","","","","20190709_090557 & 20190709_090558 & 20190709_090559 & 20190709_090600 & 20190709_090601

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-09,11340,60,Chinese Bell Church,9.5,5,21,"",sand,wall/structure,"",09:00 AM,09:30 AM,none,"","","",19,15,2,0,0,1,1,0,0,0,0,0,2,0,0,5,2,0,0,0,3,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,true,"",Partly Cloudy,"",none,"","","","","","20190709_090557 & 20190709_090558 & 20190709_090559 & 20190709_090600 & 20190709_090601

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-07-09,11340,75,Chinese Bell Church,9.5,5,21,"",sand,wall/structure,"",09:00 AM,09:30 AM,none,"","","",22,15,1,0,1,4,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","20190709_090557 & 20190709_090558 & 20190709_090559 & 20190709_090600 & 20190709_090601

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-29,11336,5,Chinese Bell Church,12.95,5,21,"",sand,wall/structure,"",03:30 PM,04:20 PM,none,"","","",29,22,0,0,0,3,4,0,0,0,0,3,0,2,1,6,0,2,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-29,11336,10,Chinese Bell Church,12.95,5,21,"",sand,wall/structure,"",03:30 PM,04:20 PM,none,"","","",23,13,1,1,5,2,1,0,0,0,0,2,0,1,0,2,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-29,11336,20,Chinese Bell Church,12.95,5,21,"",sand,wall/structure,"",03:30 PM,04:20 PM,none,"","","",62,50,1,0,2,6,3,0,0,0,0,4,2,6,0,8,6,4,2,0,8,3,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,4,2,0,0,1,0,0,0,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-29,11336,40,Chinese Bell Church,12.95,5,21,"",sand,wall/structure,"",03:30 PM,04:20 PM,none,"","","",87,56,1,10,2,9,8,1,4,7,10,6,4,6,0,2,1,5,0,0,0,2,0,0,0,0,0,5,4,0,0,0,1,0,0,0,10,1,0,0,0,0,1,0,5,4,0,0,3,3,0,2,0,0,1,true,"",Partly Cloudy,"",none,"","","","","","

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-26,11332,30,Chinese Bell Church,10,5,21,"",sand,wall/structure,"",10:40 AM,11:40 AM,none,"","","",15,14,1,0,0,0,0,0,1,0,2,2,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"",Mostly Cloudy,"",none,"","","","","","20190626_111351

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-26,11332,60,Chinese Bell Church,10,5,21,"",sand,wall/structure,"",10:40 AM,11:40 AM,none,"","","",7,6,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,true,"",Mostly Cloudy,"",none,"","","","","","20190626_111351

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-26,11332,80,Chinese Bell Church,10,5,21,"",sand,wall/structure,"",10:40 AM,11:40 AM,none,"","","",25,22,1,0,1,1,0,0,0,0,0,0,1,2,1,10,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,true,"",Mostly Cloudy,"",none,"","","","","","20190626_111351

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
MDMAP Standing Stock Protocol,1183,2019-06-26,11332,95,Chinese Bell Church,10,5,21,"",sand,wall/structure,"",10:40 AM,11:40 AM,none,"","","",15,14,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"",Mostly Cloudy,"",none,"","","","","","20190626_111351

",Arizona State University,2019-06-26,Philippines,NA,Dumaguete,9.30126,123.311584,9.301194,123.311615,9.301184,123.311421,9.301118,123.311452,NE,Day Hike,Banica River,0,"",11701.jpg,"","","","Establishment behind seawall, possible pipe leakage, near main river."
